keyCompany,stockCodeCompany,nameCompany,sectorCodeCompany,sectorCompany,segmentCompany
1,BRAP4,BRADESPAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
2,PMAM3,PARANAPANEMA,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
3,CSNA3,SID NACIONAL,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
4,SUZB3,SUZANO S.A.,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
5,BRKM5,BRASKEM,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
6,RANI3,IRANI,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
7,DEXP3,DEXXOS PAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
8,GGBR4,GERDAU,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
9,UNIP6,UNIPAR,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
10,KLBN11,KLABIN S/A,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
11,GOAU4,GERDAU MET,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
12,DXCO3,DEXCO,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
13,USIM3,USIMINAS,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
14,USIM5,USIMINAS,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
15,FESA4,FERBASA,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
16,VALE3,VALE,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
17,AALR3,ALLIAR,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
18,ALPA4,ALPARGATAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
19,ABEV3,AMBEV S/A,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
20,AMER3,AMERICANAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
21,ANIM3,ANIMA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
22,CMIN3,CSNMINERACAO,IMAT,BM&FBOVESPA BASIC MATERIALS INDEX (IMAT),SEGMENTS AND SECTORS
23,ARZZ3,AREZZO CO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
24,ASAI3,ASSAI,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
25,BKBR3,BK BRASIL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
26,AGRO3,BRASILAGRO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
27,BRFS3,BRF SA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
28,CAML3,CAMIL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
29,CRFB3,CARREFOUR BR,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
30,CEAB3,CEA MODAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
31,HGTX3,CIA HERING,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
32,COGN3,COGNA ON,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
33,CURY3,CURY S/A,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
34,CVCB3,CVC BRASIL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
35,CYRE3,CYRELA REALT,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
36,PNVL3,DIMED,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
37,DIRR3,DIRECIONAL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
38,ESPA3,ESPACOLASER,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
39,EVEN3,EVEN,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
40,EZTC3,EZTEC,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
41,FLRY3,FLEURY,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
42,GFSA3,GAFISA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
43,GRND3,GRENDENE,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
44,GMAT3,GRUPO MATEUS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
45,NTCO3,GRUPO NATURA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
46,SBFG3,GRUPO SBF,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
47,SOMA3,GRUPO SOMA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
48,GUAR3,GUARARAPES,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
49,HAPV3,HAPVIDA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
50,HBOR3,HELBOR,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
51,HYPE3,HYPERA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
52,PARD3,IHPARDINI,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
53,MEAL3,IMC S/A,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
54,GNDI3,INTERMEDICA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
55,MYPK3,IOCHP-MAXION,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
56,JBSS3,JBS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
57,JHSF3,JHSF PART,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
58,LAVV3,LAVVI,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
59,RENT3,LOCALIZA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
60,LCAM3,LOCAMERICA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
61,LAME3,LOJAS AMERIC,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
62,LAME4,LOJAS AMERIC,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
63,AMAR3,LOJAS MARISA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
64,LREN3,LOJAS RENNER,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
65,MDIA3,M.DIASBRANCO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
66,MGLU3,MAGAZ LUIZA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
67,MRFG3,MARFRIG,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
68,MELK3,MELNICK,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
69,LEVE3,METAL LEVE,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
70,BEEF3,MINERVA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
71,MTRE3,MITRE REALTY,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
72,MOVI3,MOVIDA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
73,MRVE3,MRV,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
74,ODPV3,ODONTOPREV,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
75,PCAR3,P.ACUCAR-CBD,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
76,PGMN3,PAGUE MENOS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
77,PETZ3,PETZ,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
78,PLPL3,PLANOEPLANO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
79,QUAL3,QUALICORP,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
80,LJQQ3,QUERO-QUERO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
81,RADL3,RAIADROGASIL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
82,RDOR3,REDE D OR,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
83,SMTO3,SAO MARTINHO,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
84,SEER3,SER EDUCA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
85,SLCE3,SLC AGRICOLA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
86,TECN3,TECHNOS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
87,TCSA3,TECNISA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
88,TEND3,TENDA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
89,SHOW3,TIME FOR FUN,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
90,TRIS3,TRISUL,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
91,VAMO3,VAMOS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
92,VIIA3,VIA,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
93,VIVA3,VIVARA S.A.,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
94,VULC3,VULCABRAS,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
95,YDUQ3,YDUQS PART,ICON,BM&FBOVESPA CONSUMER STOCK INDEX (ICON),SEGMENTS AND SECTORS
96,ABCB4,ABC BRASIL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
97,BRSR6,BANRISUL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
98,BBSE3,BBSEGURIDADE,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
99,BBDC3,BRADESCO,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
100,BBDC4,BRADESCO,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
101,BBAS3,BRASIL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
102,CCRO3,CCR SA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
103,CMIG3,CEMIG,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
104,CMIG4,CEMIG,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
105,CESP6,CESP,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
106,CSMG3,COPASA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
107,CPLE3,COPEL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
108,CPLE6,COPEL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
109,CPFE3,CPFL ENERGIA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
110,ELET3,ELETROBRAS,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
111,ELET6,ELETROBRAS,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
112,ENAT3,ENAUTA PART,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
113,ENBR3,ENERGIAS BR,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
114,EGIE3,ENGIE BRASIL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
115,ROMI3,INDS ROMI,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
116,ITSA4,ITAUSA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
117,ITUB3,ITAUUNIBANCO,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
118,ITUB4,ITAUUNIBANCO,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
119,PETR4,PETROBRAS,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
120,BRDT3,PETROBRAS BR,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
121,PSSA3,PORTO SEGURO,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
122,SAPR4,SANEPAR,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
123,SANB11,SANTANDER BR,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
124,SYNE3,SYN PROP TEC,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
125,TAEE11,TAESA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
126,TGMA3,TEGMA,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
127,VIVT3,TELEF BRASIL,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
128,TRPL4,TRAN PAULIST,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
129,WIZS3,WIZ S.A.,IDIV,BM&FBOVESPA DIVIDEND INDEX (IDIV),SEGMENTS AND SECTORS
130,AESB3,AES BRASIL,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
131,ALUP11,ALUPAR,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
132,COCE5,COELCE,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
133,ENGI11,ENERGISA,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
134,ENEV3,ENEVA,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
135,EQTL3,EQUATORIAL,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
136,LIGT3,LIGHT S/A,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
137,NEOE3,NEOENERGIA,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
138,OMGE3,OMEGA GER,IEEX,BM&FBOVESPA ELECTRIC UTILITIES INDEX (IEE),SEGMENTS AND SECTORS
139,B3SA3,B3,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
140,BMGB4,BANCO BMG,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
141,BIDI4,BANCO INTER,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
142,BIDI11,BANCO INTER,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
143,BPAN4,BANCO PAN,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
144,BOAS3,BOA VISTA,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
145,BPAC11,BTGP BANCO,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
146,CXSE3,CAIXA SEGURI,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
147,CIEL3,CIELO,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
148,CARD3,CSU CARDSYST,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
149,SULA11,SUL AMERICA,IFNC,BM&FBOVESPA FINANCIALS INDEX (IFNC),SEGMENTS AND SECTORS
150,AERI3,AERIS,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
151,EMBR3,EMBRAER,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
152,INTB3,INTELBRAS,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
153,POMO4,MARCOPOLO,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
154,PTBL3,PORTOBELLO,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
155,POSI3,POSITIVO TEC,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
156,RAPT4,RANDON PART,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
157,TASA4,TAURUS ARMAS,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
158,TUPY3,TUPY,INDX,BM&FBOVESPA INDUSTRIALS INDEX (INDX),SEGMENTS AND SECTORS
